domain,model,provider,complexity,response_latency,response_rate,agent_interruption_rate
All,gemini-live-2.5-flash-nat,Google,control,1.3656265148742104,0.9598742355699273,0.07953854705452575
All,gemini-live-2.5-flash-nat,Google,regular,1.4205351103426123,0.78839059436201,0.2197309814635434
All,gpt-realtime-1.5,OpenAI,control,1.692334986267608,0.9929586983879979,0.010041952740699174
All,gpt-realtime-1.5,OpenAI,regular,1.388785015483953,0.999286480438061,0.13540286519099273
All,gpt-realtime-2025-08-28,OpenAI,control,1.6937978234948956,0.9589748527955871,0.021426612611369786
All,gpt-realtime-2025-08-28,OpenAI,regular,1.4692612091631432,0.9841796649253728,0.13422927171276713
All,xai-realtime,xAI,control,1.051072798303115,0.9210151240903451,0.43547919147868974
All,xai-realtime,xAI,regular,1.1492654229568544,0.913223367979192,0.8429014444073495
retail,gemini-live-2.5-flash-nat,Google,control,1.4932489451476798,0.971311475409836,0.0778688524590164
retail,gemini-live-2.5-flash-nat,Google,regular,1.55703544575725,0.7575264442636289,0.19934906427990237
retail,gpt-realtime-1.5,OpenAI,control,1.8061181434599152,0.9905956112852664,0.008359456635318705
retail,gpt-realtime-1.5,OpenAI,regular,1.3924137931034484,0.9993108201240524,0.14679531357684356
retail,gpt-realtime-2025-08-28,OpenAI,control,1.8523616734143056,0.9573643410852714,0.01808785529715762
retail,gpt-realtime-2025-08-28,OpenAI,regular,1.539231456657729,0.9824407374890256,0.11325724319578578
retail,xai-realtime,xAI,control,1.0876611418047877,0.839258114374034,0.29057187017001546
retail,xai-realtime,xAI,regular,1.1152903569525845,0.9050144648023144,0.7738669238187078
airline,gemini-live-2.5-flash-nat,Google,control,1.4041775456919066,0.9527363184079602,0.05970149253731343
airline,gemini-live-2.5-flash-nat,Google,regular,1.4598382749326142,0.8047722342733189,0.19088937093275488
airline,gpt-realtime-1.5,OpenAI,control,1.7893854748603353,0.988950276243094,0.011049723756906077
airline,gpt-realtime-1.5,OpenAI,regular,1.427906976744186,0.9985486211901308,0.14223512336719885
airline,gpt-realtime-2025-08-28,OpenAI,control,1.711254019292604,0.933933933933934,0.02702702702702703
airline,gpt-realtime-2025-08-28,OpenAI,regular,1.4934460887949257,0.9752577319587628,0.1670103092783505
airline,xai-realtime,xAI,control,1.082985074626866,0.9331476323119776,0.6211699164345403
airline,xai-realtime,xAI,regular,1.1765306122448969,0.9074074074074074,0.8252314814814815
telecom,gemini-live-2.5-flash-nat,Google,control,1.1994530537830446,0.955574912891986,0.10104529616724739
telecom,gemini-live-2.5-flash-nat,Google,regular,1.2447316103379724,0.8028731045490822,0.26895450917797287
telecom,gpt-realtime-1.5,OpenAI,control,1.481501340482574,0.999330207635633,0.010716677829872739
telecom,gpt-realtime-1.5,OpenAI,regular,1.346034276604224,1.0,0.11717815862893582
telecom,gpt-realtime-2025-08-28,OpenAI,control,1.5177777777777774,0.9856262833675564,0.019164955509924708
telecom,gpt-realtime-2025-08-28,OpenAI,regular,1.375106082036775,0.9948405253283302,0.1224202626641651
telecom,xai-realtime,xAI,control,0.9825721784776912,0.9906396255850234,0.39469578783151327
telecom,xai-realtime,xAI,regular,1.155975299673082,0.9272482317278544,0.9296059279218593
