llm,domain,speech_complexity,simulation_id,task_id,trial,duration_seconds,num_ticks,termination_reason,success
gemini:gemini-live-2.5-flash-native-audio,airline,regular,8f341da4-a879-4a3a-92f8-637b26bff048,0,0,120.79005970799335,374,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,0,143.20143783299864,447,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,0,151.68546533300105,470,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bc6cb54e-58a7-409c-87d2-35d18ca59765,6,0,216.74805691599613,650,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e9faea72-b7c9-4870-a1b5-aadd808243ee,4,0,220.83415999999852,667,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c3473187-40d3-4eac-953a-fd75f0c54e39,8,0,256.627605665999,760,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c30c5ef4-54a2-4038-9686-9366882e329b,7,0,249.50669641699642,760,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,de71ed78-ca5b-45f6-8854-251e09a5280d,12,0,135.76067329199577,420,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,ceacf6e7-b8c3-4bc5-8bcd-1bf4908c66b7,1,0,144.55956212500314,431,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bcc2b71d-bd63-4178-be1f-17190add421f,15,0,117.15027383299457,340,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,0f12bd54-b6f1-4963-80dc-879d62b6c930,11,0,252.28658095900028,731,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,f2956bb5-fd29-424f-b773-911f55061962,9,0,470.4953877500011,1425,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d9aff308-6d40-454a-ba5d-17c46d194b64,18,0,59.28041366699472,165,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d3b144e7-80ca-4c16-a156-8ef7283f5bb3,10,0,381.2328132920011,1125,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,47aa74f2-f2b2-4617-aa8f-23c2eb10f7f8,17,0,201.5237327079958,570,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,0da90041-1771-489f-9ea6-65c6446bc7bf,13,0,323.9256511670028,920,too_many_errors,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,6336f4ce-ddd6-46d1-a63d-0b0eaeb78e70,19,0,161.25995516699913,470,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,9f25d981-64aa-460c-9741-51af11f350fd,14,0,384.83054979200097,1117,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,cf91f135-04c2-4701-8a65-a129f028d99a,2,0,213.1957926670002,635,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,fa2b4be9-c9ba-4411-bc15-3172201c701e,22,0,225.97376404100214,670,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,53193688-4618-4d30-b45b-d450d87ed795,25,0,218.3225794589962,648,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e03a93e6-bce4-4704-b11b-920db42c2317,28,0,131.06878720799432,373,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d1f67aac-aaf2-4178-9a56-2609a32afa5d,21,0,387.7035628329977,1100,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,594b0731-4223-4b55-832b-8e8f921351d5,24,0,293.9813412500007,845,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d76945a0-7211-4b3b-9c85-23667d12de48,26,0,133.08143266700063,366,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d50d6c02-49eb-4607-80c3-0f9efc05d46c,27,0,283.4045439170004,800,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,04064355-1487-4313-bc43-544ed527eef4,23,0,463.4184247500016,1320,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,f0465ca3-fbff-4b63-b2d7-dc763d6ecbb9,31,0,203.09948912500113,560,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,6d271b0d-ec5e-4751-8fe4-6284335c985b,30,0,270.2686351250013,761,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bf947eb0-f125-4445-9e2c-47cac1f823c8,35,0,129.96145870799955,373,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e78815f8-3cba-4bb0-8099-d31a37d8ae61,29,0,361.8153690830004,930,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,5b22ba4a-7b0b-45d3-ab39-3e059a1db415,20,0,192.97290387500107,542,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,b0a68e88-a94c-4163-912f-dfaa0ebd5919,34,0,293.6404630410034,835,agent_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,17d05613-6d3a-4391-b8f6-578a7209fbd4,33,0,351.09385887499957,1004,agent_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c39b055f-34ce-410c-9d11-49c4ad189435,36,0,237.42337370899622,670,user_stop,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,1c37ba13-215c-441c-b405-0803cb6545fa,41,0,112.26579858299374,289,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c3cbbae7-9e0b-438c-8973-85fa814103a3,38,0,254.43337250000332,698,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,8d9cb0af-5db1-4306-aa60-ab93dabf6740,40,0,291.5727877919999,780,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,3e4201af-6e12-4605-95f7-d94f2f83412d,44,0,148.77632395899855,400,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,a44fa34c-12dd-4568-b184-cdf237d6efbc,39,0,351.58751312499953,980,user_stop,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e1e9577a-8e0d-4703-a81b-64842010d957,46,0,98.48118070799683,261,agent_stop,True
