llm,domain,background_noise_file,speech_complexity,pass_hat_1,pass_hat_1_std,pass_hat_2,pass_hat_2_std,pass_hat_3,pass_hat_3_std,pass_hat_4,pass_hat_4_std,pass_hat_5,pass_hat_5_std,num_tasks,num_simulations,avg_reward
gemini:gemini-live-2.5-flash-native-audio,airline,busy_street_iphone_mic.wav,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,12,12,0.3333333333333333
gemini:gemini-live-2.5-flash-native-audio,airline,medium_size_room_tv_news_iphone_mic.wav,regular,0.5,0.5,,,,,,,,,10,10,0.5
gemini:gemini-live-2.5-flash-native-audio,airline,people_talking.wav,regular,0.14285714285714285,0.34992710611188266,,,,,,,,,14,14,0.14285714285714285
gemini:gemini-live-2.5-flash-native-audio,airline,street_and_metro_station_iphone_mic.wav,regular,0.2857142857142857,0.45175395145262565,,,,,,,,,14,14,0.2857142857142857
gemini:gemini-live-2.5-flash-native-audio,airline,,control,0.28,0.448998886412873,,,,,,,,,50,50,0.28
gemini:gemini-live-2.5-flash-native-audio,retail,busy_street_iphone_mic.wav,control_audio,0.45,0.49749371855331,,,,,,,,,20,20,0.45
gemini:gemini-live-2.5-flash-native-audio,retail,busy_street_iphone_mic.wav,regular,0.3181818181818182,0.46577048936179993,,,,,,,,,22,22,0.3181818181818182
gemini:gemini-live-2.5-flash-native-audio,retail,medium_size_room_tv_news_iphone_mic.wav,control_audio,0.38461538461538464,0.48650425541051995,,,,,,,,,26,26,0.38461538461538464
gemini:gemini-live-2.5-flash-native-audio,retail,medium_size_room_tv_news_iphone_mic.wav,regular,0.15384615384615385,0.36080121229411,,,,,,,,,26,26,0.15384615384615385
gemini:gemini-live-2.5-flash-native-audio,retail,people_talking.wav,control_audio,0.3157894736842105,0.464829519280413,,,,,,,,,38,38,0.3157894736842105
gemini:gemini-live-2.5-flash-native-audio,retail,people_talking.wav,regular,0.25806451612903225,0.43756967633066246,,,,,,,,,31,31,0.25806451612903225
gemini:gemini-live-2.5-flash-native-audio,retail,street_and_metro_station_iphone_mic.wav,control_audio,0.3,0.458257569495584,,,,,,,,,30,30,0.3
gemini:gemini-live-2.5-flash-native-audio,retail,street_and_metro_station_iphone_mic.wav,regular,0.37142857142857144,0.4831867007225075,,,,,,,,,35,35,0.37142857142857144
gemini:gemini-live-2.5-flash-native-audio,retail,,control,0.38596491228070173,0.4868223482635652,,,,,,,,,114,114,0.38596491228070173
gemini:gemini-live-2.5-flash-native-audio,retail,,control_accents,0.45614035087719296,0.4980726163711716,,,,,,,,,114,114,0.45614035087719296
gemini:gemini-live-2.5-flash-native-audio,retail,,control_behavior,0.41228070175438597,0.49224518759993685,,,,,,,,,114,114,0.41228070175438597
gemini:gemini-live-2.5-flash-native-audio,telecom,busy_street_iphone_mic.wav,regular,0.23809523809523808,0.4259177099999599,,,,,,,,,42,42,0.23809523809523808
gemini:gemini-live-2.5-flash-native-audio,telecom,medium_size_room_tv_news_iphone_mic.wav,regular,0.13793103448275862,0.3448275862068965,,,,,,,,,29,29,0.13793103448275862
gemini:gemini-live-2.5-flash-native-audio,telecom,people_talking.wav,regular,0.08695652173913043,0.2817713347133852,,,,,,,,,23,23,0.08695652173913043
gemini:gemini-live-2.5-flash-native-audio,telecom,street_and_metro_station_iphone_mic.wav,regular,0.1,0.30000000000000004,,,,,,,,,20,20,0.1
gemini:gemini-live-2.5-flash-native-audio,telecom,,control,0.20175438596491227,0.40130979767360964,,,,,,,,,114,114,0.20175438596491227
openai:gpt-realtime-1.5,airline,busy_street_iphone_mic.wav,regular,0.4166666666666667,0.4930066485916347,,,,,,,,,12,12,0.4166666666666667
openai:gpt-realtime-1.5,airline,medium_size_room_tv_news_iphone_mic.wav,regular,0.5,0.5,,,,,,,,,10,10,0.5
openai:gpt-realtime-1.5,airline,people_talking.wav,regular,0.35714285714285715,0.47915742374995485,,,,,,,,,14,14,0.35714285714285715
openai:gpt-realtime-1.5,airline,street_and_metro_station_iphone_mic.wav,regular,0.35714285714285715,0.47915742374995485,,,,,,,,,14,14,0.35714285714285715
openai:gpt-realtime-1.5,airline,,control,0.48,0.4995998398718719,,,,,,,,,50,50,0.48
openai:gpt-realtime-1.5,retail,busy_street_iphone_mic.wav,control_audio,0.75,0.4330127018922193,,,,,,,,,20,20,0.75
openai:gpt-realtime-1.5,retail,busy_street_iphone_mic.wav,regular,0.5,0.5,,,,,,,,,22,22,0.5
openai:gpt-realtime-1.5,retail,medium_size_room_tv_news_iphone_mic.wav,control_audio,0.5769230769230769,0.49404740687173565,,,,,,,,,26,26,0.5769230769230769
openai:gpt-realtime-1.5,retail,medium_size_room_tv_news_iphone_mic.wav,regular,0.5,0.5,,,,,,,,,26,26,0.5
openai:gpt-realtime-1.5,retail,people_talking.wav,control_audio,0.5789473684210527,0.4937279747182557,,,,,,,,,38,38,0.5789473684210527
openai:gpt-realtime-1.5,retail,people_talking.wav,regular,0.41935483870967744,0.49345350131543086,,,,,,,,,31,31,0.41935483870967744
openai:gpt-realtime-1.5,retail,street_and_metro_station_iphone_mic.wav,control_audio,0.7333333333333333,0.44221663871405337,,,,,,,,,30,30,0.7333333333333333
openai:gpt-realtime-1.5,retail,street_and_metro_station_iphone_mic.wav,regular,0.37142857142857144,0.4831867007225075,,,,,,,,,35,35,0.37142857142857144
openai:gpt-realtime-1.5,retail,,control,0.6929824561403509,0.4612567307064879,,,,,,,,,114,114,0.6929824561403509
openai:gpt-realtime-1.5,retail,,control_accents,0.5877192982456141,0.4922451875999368,,,,,,,,,114,114,0.5877192982456141
openai:gpt-realtime-1.5,retail,,control_behavior,0.5614035087719298,0.49621528504319135,,,,,,,,,114,114,0.5614035087719298
openai:gpt-realtime-1.5,telecom,busy_street_iphone_mic.wav,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,42,42,0.3333333333333333
openai:gpt-realtime-1.5,telecom,medium_size_room_tv_news_iphone_mic.wav,regular,0.1724137931034483,0.37773969483114905,,,,,,,,,29,29,0.1724137931034483
openai:gpt-realtime-1.5,telecom,people_talking.wav,regular,0.13043478260869565,0.33678116053977536,,,,,,,,,23,23,0.13043478260869565
openai:gpt-realtime-1.5,telecom,street_and_metro_station_iphone_mic.wav,regular,0.1,0.30000000000000004,,,,,,,,,20,20,0.1
openai:gpt-realtime-1.5,telecom,,control,0.2807017543859649,0.4493420517496736,,,,,,,,,114,114,0.2807017543859649
openai:gpt-realtime-2025-08-28,airline,busy_street_iphone_mic.wav,regular,0.5833333333333334,0.4930066485916347,,,,,,,,,12,12,0.5833333333333334
openai:gpt-realtime-2025-08-28,airline,medium_size_room_tv_news_iphone_mic.wav,regular,0.6,0.4898979485566356,,,,,,,,,10,10,0.6
openai:gpt-realtime-2025-08-28,airline,people_talking.wav,regular,0.21428571428571427,0.410325903324145,,,,,,,,,14,14,0.21428571428571427
openai:gpt-realtime-2025-08-28,airline,street_and_metro_station_iphone_mic.wav,regular,0.42857142857142855,0.49487165930539345,,,,,,,,,14,14,0.42857142857142855
openai:gpt-realtime-2025-08-28,airline,,control,0.44,0.4963869458396343,,,,,,,,,50,50,0.44
openai:gpt-realtime-2025-08-28,retail,busy_street_iphone_mic.wav,control_audio,0.6,0.4898979485566357,,,,,,,,,20,20,0.6
openai:gpt-realtime-2025-08-28,retail,busy_street_iphone_mic.wav,regular,0.3181818181818182,0.46577048936179993,,,,,,,,,22,22,0.3181818181818182
openai:gpt-realtime-2025-08-28,retail,medium_size_room_tv_news_iphone_mic.wav,control_audio,0.38461538461538464,0.48650425541051995,,,,,,,,,26,26,0.38461538461538464
openai:gpt-realtime-2025-08-28,retail,medium_size_room_tv_news_iphone_mic.wav,regular,0.5,0.5,,,,,,,,,26,26,0.5
openai:gpt-realtime-2025-08-28,retail,people_talking.wav,control_audio,0.5,0.5,,,,,,,,,38,38,0.5
openai:gpt-realtime-2025-08-28,retail,people_talking.wav,regular,0.3225806451612903,0.46746376600611095,,,,,,,,,31,31,0.3225806451612903
openai:gpt-realtime-2025-08-28,retail,street_and_metro_station_iphone_mic.wav,control_audio,0.43333333333333335,0.49553562491061676,,,,,,,,,30,30,0.43333333333333335
openai:gpt-realtime-2025-08-28,retail,street_and_metro_station_iphone_mic.wav,regular,0.22857142857142856,0.4199125273342591,,,,,,,,,35,35,0.22857142857142856
openai:gpt-realtime-2025-08-28,retail,,control,0.5350877192982456,0.4987673324852456,,,,,,,,,114,114,0.5350877192982456
openai:gpt-realtime-2025-08-28,retail,,control_accents,0.49122807017543857,0.49992304732543885,,,,,,,,,114,114,0.49122807017543857
openai:gpt-realtime-2025-08-28,retail,,control_behavior,0.45614035087719296,0.4980726163711715,,,,,,,,,114,114,0.45614035087719296
openai:gpt-realtime-2025-08-28,telecom,busy_street_iphone_mic.wav,regular,0.3333333333333333,0.47140452079103173,,,,,,,,,42,42,0.3333333333333333
openai:gpt-realtime-2025-08-28,telecom,medium_size_room_tv_news_iphone_mic.wav,regular,0.27586206896551724,0.44694763437295587,,,,,,,,,29,29,0.27586206896551724
openai:gpt-realtime-2025-08-28,telecom,people_talking.wav,regular,0.17391304347826086,0.37903469074266727,,,,,,,,,23,23,0.17391304347826086
openai:gpt-realtime-2025-08-28,telecom,street_and_metro_station_iphone_mic.wav,regular,0.15,0.3570714214271425,,,,,,,,,20,20,0.15
openai:gpt-realtime-2025-08-28,telecom,,control,0.24561403508771928,0.43045067180299285,,,,,,,,,114,114,0.24561403508771928
xai:xai-realtime,airline,busy_street_iphone_mic.wav,regular,0.4166666666666667,0.4930066485916347,,,,,,,,,12,12,0.4166666666666667
xai:xai-realtime,airline,medium_size_room_tv_news_iphone_mic.wav,regular,0.6,0.48989794855663565,,,,,,,,,10,10,0.6
