simulation_id,task_id,trial,domain,speech_complexity,llm,background_noise_file,reward,success
8f341da4-a879-4a3a-92f8-637b26bff048,0,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
bc6cb54e-58a7-409c-87d2-35d18ca59765,6,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
e9faea72-b7c9-4870-a1b5-aadd808243ee,4,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
c3473187-40d3-4eac-953a-fd75f0c54e39,8,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
c30c5ef4-54a2-4038-9686-9366882e329b,7,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
de71ed78-ca5b-45f6-8854-251e09a5280d,12,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
ceacf6e7-b8c3-4bc5-8bcd-1bf4908c66b7,1,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
bcc2b71d-bd63-4178-be1f-17190add421f,15,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
0f12bd54-b6f1-4963-80dc-879d62b6c930,11,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
f2956bb5-fd29-424f-b773-911f55061962,9,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
d9aff308-6d40-454a-ba5d-17c46d194b64,18,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
d3b144e7-80ca-4c16-a156-8ef7283f5bb3,10,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
47aa74f2-f2b2-4617-aa8f-23c2eb10f7f8,17,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
0da90041-1771-489f-9ea6-65c6446bc7bf,13,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
6336f4ce-ddd6-46d1-a63d-0b0eaeb78e70,19,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
9f25d981-64aa-460c-9741-51af11f350fd,14,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
cf91f135-04c2-4701-8a65-a129f028d99a,2,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
fa2b4be9-c9ba-4411-bc15-3172201c701e,22,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
53193688-4618-4d30-b45b-d450d87ed795,25,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
e03a93e6-bce4-4704-b11b-920db42c2317,28,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
d1f67aac-aaf2-4178-9a56-2609a32afa5d,21,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
594b0731-4223-4b55-832b-8e8f921351d5,24,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
d76945a0-7211-4b3b-9c85-23667d12de48,26,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
d50d6c02-49eb-4607-80c3-0f9efc05d46c,27,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,1.0,True
04064355-1487-4313-bc43-544ed527eef4,23,0,airline,regular,gemini:gemini-live-2.5-flash-native-audio,,0.0,False
