llm,speech_complexity,action_name,num_expected,num_matched,success_rate
gemini:gemini-live-2.5-flash-native-audio,control,book_reservation,10,1,0.1
gemini:gemini-live-2.5-flash-native-audio,control,calculate,14,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control,cancel_pending_order,25,15,0.6
gemini:gemini-live-2.5-flash-native-audio,control,cancel_reservation,11,5,0.45454545454545453
gemini:gemini-live-2.5-flash-native-audio,control,enable_roaming,38,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control,exchange_delivered_order_items,35,13,0.37142857142857144
gemini:gemini-live-2.5-flash-native-audio,control,find_user_id_by_email,14,12,0.8571428571428571
gemini:gemini-live-2.5-flash-native-audio,control,find_user_id_by_name_zip,61,43,0.7049180327868853
gemini:gemini-live-2.5-flash-native-audio,control,get_item_details,3,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control,get_order_details,168,115,0.6845238095238095
gemini:gemini-live-2.5-flash-native-audio,control,get_product_details,54,28,0.5185185185185185
gemini:gemini-live-2.5-flash-native-audio,control,get_reservation_details,57,36,0.631578947368421
gemini:gemini-live-2.5-flash-native-audio,control,get_user_details,71,57,0.8028169014084507
gemini:gemini-live-2.5-flash-native-audio,control,modify_pending_order_address,24,10,0.4166666666666667
gemini:gemini-live-2.5-flash-native-audio,control,modify_pending_order_items,39,16,0.41025641025641024
gemini:gemini-live-2.5-flash-native-audio,control,modify_pending_order_payment,1,1,1.0
gemini:gemini-live-2.5-flash-native-audio,control,modify_user_address,11,5,0.45454545454545453
gemini:gemini-live-2.5-flash-native-audio,control,refuel_data,49,1,0.02040816326530612
gemini:gemini-live-2.5-flash-native-audio,control,resume_line,6,1,0.16666666666666666
gemini:gemini-live-2.5-flash-native-audio,control,return_delivered_order_items,41,24,0.5853658536585366
gemini:gemini-live-2.5-flash-native-audio,control,search_direct_flight,19,4,0.21052631578947367
gemini:gemini-live-2.5-flash-native-audio,control,send_payment_request,6,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control,transfer_to_human_agents,25,24,0.96
gemini:gemini-live-2.5-flash-native-audio,control,update_reservation_baggages,4,1,0.25
gemini:gemini-live-2.5-flash-native-audio,control,update_reservation_flights,19,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control,update_reservation_passengers,2,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_accents,calculate,13,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_accents,cancel_pending_order,25,17,0.68
gemini:gemini-live-2.5-flash-native-audio,control_accents,exchange_delivered_order_items,35,16,0.45714285714285713
gemini:gemini-live-2.5-flash-native-audio,control_accents,find_user_id_by_email,14,12,0.8571428571428571
gemini:gemini-live-2.5-flash-native-audio,control_accents,find_user_id_by_name_zip,61,40,0.6557377049180327
gemini:gemini-live-2.5-flash-native-audio,control_accents,get_item_details,3,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_accents,get_order_details,168,120,0.7142857142857143
gemini:gemini-live-2.5-flash-native-audio,control_accents,get_product_details,54,33,0.6111111111111112
gemini:gemini-live-2.5-flash-native-audio,control_accents,get_user_details,57,44,0.7719298245614035
gemini:gemini-live-2.5-flash-native-audio,control_accents,modify_pending_order_address,24,13,0.5416666666666666
gemini:gemini-live-2.5-flash-native-audio,control_accents,modify_pending_order_items,39,15,0.38461538461538464
gemini:gemini-live-2.5-flash-native-audio,control_accents,modify_pending_order_payment,1,1,1.0
gemini:gemini-live-2.5-flash-native-audio,control_accents,modify_user_address,11,7,0.6363636363636364
gemini:gemini-live-2.5-flash-native-audio,control_accents,return_delivered_order_items,41,27,0.6585365853658537
gemini:gemini-live-2.5-flash-native-audio,control_accents,transfer_to_human_agents,4,4,1.0
gemini:gemini-live-2.5-flash-native-audio,control_audio,calculate,13,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_audio,cancel_pending_order,25,16,0.64
gemini:gemini-live-2.5-flash-native-audio,control_audio,exchange_delivered_order_items,35,8,0.22857142857142856
gemini:gemini-live-2.5-flash-native-audio,control_audio,find_user_id_by_email,14,13,0.9285714285714286
gemini:gemini-live-2.5-flash-native-audio,control_audio,find_user_id_by_name_zip,61,35,0.5737704918032787
gemini:gemini-live-2.5-flash-native-audio,control_audio,get_item_details,3,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_audio,get_order_details,168,119,0.7083333333333334
gemini:gemini-live-2.5-flash-native-audio,control_audio,get_product_details,54,23,0.42592592592592593
gemini:gemini-live-2.5-flash-native-audio,control_audio,get_user_details,57,39,0.6842105263157895
gemini:gemini-live-2.5-flash-native-audio,control_audio,modify_pending_order_address,24,13,0.5416666666666666
gemini:gemini-live-2.5-flash-native-audio,control_audio,modify_pending_order_items,39,16,0.41025641025641024
gemini:gemini-live-2.5-flash-native-audio,control_audio,modify_pending_order_payment,1,1,1.0
gemini:gemini-live-2.5-flash-native-audio,control_audio,modify_user_address,11,5,0.45454545454545453
gemini:gemini-live-2.5-flash-native-audio,control_audio,return_delivered_order_items,41,30,0.7317073170731707
gemini:gemini-live-2.5-flash-native-audio,control_audio,transfer_to_human_agents,4,3,0.75
gemini:gemini-live-2.5-flash-native-audio,control_behavior,calculate,13,0,0.0
gemini:gemini-live-2.5-flash-native-audio,control_behavior,cancel_pending_order,25,19,0.76
gemini:gemini-live-2.5-flash-native-audio,control_behavior,exchange_delivered_order_items,35,13,0.37142857142857144
gemini:gemini-live-2.5-flash-native-audio,control_behavior,find_user_id_by_email,14,11,0.7857142857142857
gemini:gemini-live-2.5-flash-native-audio,control_behavior,find_user_id_by_name_zip,61,43,0.7049180327868853
gemini:gemini-live-2.5-flash-native-audio,control_behavior,get_item_details,3,0,0.0
