llm,domain,speech_complexity,simulation_id,task_id,trial,termination_reason,reward,success
gemini:gemini-live-2.5-flash-native-audio,airline,regular,8f341da4-a879-4a3a-92f8-637b26bff048,0,0,user_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bc6cb54e-58a7-409c-87d2-35d18ca59765,6,0,user_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e9faea72-b7c9-4870-a1b5-aadd808243ee,4,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c3473187-40d3-4eac-953a-fd75f0c54e39,8,0,user_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,c30c5ef4-54a2-4038-9686-9366882e329b,7,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,de71ed78-ca5b-45f6-8854-251e09a5280d,12,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,ceacf6e7-b8c3-4bc5-8bcd-1bf4908c66b7,1,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bcc2b71d-bd63-4178-be1f-17190add421f,15,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,0f12bd54-b6f1-4963-80dc-879d62b6c930,11,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,f2956bb5-fd29-424f-b773-911f55061962,9,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d9aff308-6d40-454a-ba5d-17c46d194b64,18,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d3b144e7-80ca-4c16-a156-8ef7283f5bb3,10,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,47aa74f2-f2b2-4617-aa8f-23c2eb10f7f8,17,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,0da90041-1771-489f-9ea6-65c6446bc7bf,13,0,too_many_errors,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,6336f4ce-ddd6-46d1-a63d-0b0eaeb78e70,19,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,9f25d981-64aa-460c-9741-51af11f350fd,14,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,cf91f135-04c2-4701-8a65-a129f028d99a,2,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,fa2b4be9-c9ba-4411-bc15-3172201c701e,22,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,53193688-4618-4d30-b45b-d450d87ed795,25,0,user_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e03a93e6-bce4-4704-b11b-920db42c2317,28,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d1f67aac-aaf2-4178-9a56-2609a32afa5d,21,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,594b0731-4223-4b55-832b-8e8f921351d5,24,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d76945a0-7211-4b3b-9c85-23667d12de48,26,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,d50d6c02-49eb-4607-80c3-0f9efc05d46c,27,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,04064355-1487-4313-bc43-544ed527eef4,23,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,f0465ca3-fbff-4b63-b2d7-dc763d6ecbb9,31,0,user_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,6d271b0d-ec5e-4751-8fe4-6284335c985b,30,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,bf947eb0-f125-4445-9e2c-47cac1f823c8,35,0,agent_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,e78815f8-3cba-4bb0-8099-d31a37d8ae61,29,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,5b22ba4a-7b0b-45d3-ab39-3e059a1db415,20,0,user_stop,0.0,False
gemini:gemini-live-2.5-flash-native-audio,airline,regular,b0a68e88-a94c-4163-912f-dfaa0ebd5919,34,0,agent_stop,1.0,True
gemini:gemini-live-2.5-flash-native-audio,airline,regular,17d05613-6d3a-4391-b8f6-578a7209fbd4,33,0,agent_stop,0.0,False
