llm,domain,speech_complexity,provider,total_count,response_count,no_response_count,response_rate,latency_mean,latency_std,latency_min,latency_max,latency_median,latency_p25,latency_p75,latency_p95,silence_mean,silence_std,silence_min,silence_max
gemini:gemini-live-2.5-flash-native-audio,airline,control,gemini,402,383,19,0.9527363184079602,1.4041775456919066,0.7065759110903993,0.19999999999999574,5.2000000000000455,1.1999999999999993,1.0,1.5999999999999979,2.799999999999997,5.2,8.608664210255242e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,461,371,90,0.8047722342733189,1.4598382749326142,1.0858196434485046,0.20000000000000284,9.600000000000001,1.1999999999999957,0.9999999999999973,1.6000000000000014,2.9999999999999964,5.200000000000001,7.381967739023674e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,retail,control,gemini,976,948,28,0.9713114754098361,1.4932489451476798,0.7276096703344807,0.40000000000000213,5.200000000000003,1.2000000000000028,1.0,1.7999999999999972,3.0000000000000187,5.199999999999998,8.202860080989797e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,gemini,1122,1047,75,0.9331550802139037,1.5400191021967529,0.7777456757545064,0.19999999999998863,9.599999999999994,1.200000000000017,1.0,1.8000000000000114,3.000000000000012,5.200000000000001,7.0783704172667624e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,gemini,1217,1005,212,0.8258011503697618,1.5313432835820895,0.7461606153580596,0.19999999999998863,9.0,1.200000000000017,1.0,1.8000000000000007,3.0,5.200000000000001,9.018380423366422e-15,5.199999999999989,5.2000000000000455
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,gemini,992,921,71,0.9284274193548387,1.5190010857763294,0.7661858392167078,0.20000000000000284,6.799999999999983,1.2000000000000028,1.0,1.7999999999999972,3.0,5.2,7.439370082339335e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,retail,regular,gemini,1229,931,298,0.7575264442636289,1.55703544575725,1.2441525240272282,0.20000000000000284,15.399999999999999,1.2000000000000028,1.0,1.799999999999983,3.1999999999999886,5.199999999999998,8.516301634424506e-15,5.199999999999989,5.200000000000017
gemini:gemini-live-2.5-flash-native-audio,telecom,control,gemini,1148,1097,51,0.955574912891986,1.1994530537830446,0.36583031225584584,0.19999999999998863,3.4000000000000057,1.1999999999999886,1.0,1.3999999999999986,1.8000000000000014,5.223529411764708,0.0950541641257606,5.199999999999989,5.6000000000000085
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,gemini,1253,1006,247,0.8028731045490822,1.2447316103379724,0.847041722195014,0.19999999999999574,11.399999999999999,1.1999999999999886,0.8000000000000114,1.3999999999999986,2.000000000000001,5.209716599190285,0.06170610127636384,5.199999999999989,5.6000000000000085
openai:gpt-realtime-1.5,airline,control,openai,362,358,4,0.988950276243094,1.7893854748603353,0.7907016789602493,0.799999999999983,5.200000000000017,1.599999999999966,1.2000000000000064,2.000000000000023,3.200000000000017,5.199999999999992,4.1023203976182695e-15,5.199999999999989,5.199999999999996
openai:gpt-realtime-1.5,airline,regular,openai,689,688,1,0.9985486211901307,1.4279069767441859,0.5845464857085082,0.3999999999999986,5.2000000000000455,1.2000000000000455,1.0,1.5999999999999943,2.5299999999999754,5.2000000000000455,,5.2000000000000455,5.2000000000000455
openai:gpt-realtime-1.5,retail,control,openai,957,948,9,0.9905956112852664,1.8061181434599154,0.8201298701905747,0.6000000000000227,5.200000000000003,1.599999999999966,1.2000000000000028,2.200000000000003,3.5999999999999943,5.199999999999995,1.0324477217660428e-14,5.199999999999989,5.200000000000017
openai:gpt-realtime-1.5,retail,control_accents,openai,936,924,12,0.9871794871794872,1.6935064935064934,0.7699115896402954,0.5999999999999943,5.199999999999996,1.4000000000000057,1.1999999999999886,2.0,3.200000000000003,5.199999999999993,2.6645352591003757e-14,5.199999999999932,5.2000000000000455
openai:gpt-realtime-1.5,retail,control_audio,openai,968,959,9,0.9907024793388429,1.751199165797706,0.767472957205045,0.3999999999999915,5.2000000000000455,1.400000000000034,1.1999999999999997,2.1999999999999886,3.3999999999999915,5.2,1.3296745856887664e-14,5.199999999999989,5.200000000000017
openai:gpt-realtime-1.5,retail,control_behavior,openai,1588,1585,3,0.9981108312342569,1.442523659305993,0.622055643075891,0.19999999999998863,5.200000000000017,1.2000000000000028,1.0,1.6000000000000014,2.6000000000000227,5.200000000000003,1.4210854715202004e-14,5.199999999999989,5.200000000000017
openai:gpt-realtime-1.5,retail,regular,openai,1451,1450,1,0.9993108201240524,1.3924137931034484,0.6071784475476854,0.19999999999998863,5.0,1.2000000000000028,1.0,1.5999999999999943,2.6000000000000165,5.200000000000017,,5.200000000000017,5.200000000000017
openai:gpt-realtime-1.5,telecom,control,openai,1493,1492,1,0.999330207635633,1.481501340482574,0.47154400340558417,0.39999999999997726,5.200000000000003,1.4000000000000004,1.1999999999999993,1.6000000000000085,2.2000000000000455,5.199999999999989,,5.199999999999989,5.199999999999989
openai:gpt-realtime-1.5,telecom,regular,openai,2509,2509,0,1.0,1.346034276604224,0.4585589734788532,0.19999999999998863,5.200000000000017,1.200000000000017,1.0,1.400000000000034,2.1999999999999886,,,,
xai:xai-realtime,airline,control,xai,359,335,24,0.9331476323119777,1.0829850746268659,0.414891281211919,0.19999999999998863,2.5999999999999943,1.0,0.8000000000000114,1.3999999999999773,1.8000000000000114,5.199999999999998,1.6941315660229588e-14,5.199999999999989,5.2000000000000455
xai:xai-realtime,airline,regular,xai,864,784,80,0.9074074074074074,1.1765306122448969,1.2741100934972633,0.1999999999999318,12.400000000000006,0.8000000000000114,0.6000000000000014,1.3999999999999773,2.3999999999999604,5.1999999999999975,2.241237762008503e-14,5.199999999999932,5.2000000000000455
xai:xai-realtime,retail,control,xai,1294,1086,208,0.839258114374034,1.0876611418047877,0.49593244978193757,0.1999999999999318,7.800000000000011,1.0,0.8000000000000007,1.3999999999999773,1.9499999999999744,5.199999999999998,2.1627236369040504e-14,5.199999999999932,5.2000000000000455
