llm,domain,persona_name,speech_complexity,pass_hat_1,pass_hat_1_std,pass_hat_2,pass_hat_2_std,pass_hat_3,pass_hat_3_std,pass_hat_4,pass_hat_4_std,pass_hat_5,pass_hat_5_std,num_tasks,num_simulations,avg_reward
gemini:gemini-live-2.5-flash-native-audio,airline,arjun_roy,regular,0.2727272727272727,0.4453617714151233,,,,,,,,,11,11,0.2727272727272727
gemini:gemini-live-2.5-flash-native-audio,airline,lisa_brenner,control,0.18181818181818182,0.38569460791993493,,,,,,,,,22,22,0.18181818181818182
gemini:gemini-live-2.5-flash-native-audio,airline,mamadou_diallo,regular,0.25,0.4330127018922193,,,,,,,,,12,12,0.25
gemini:gemini-live-2.5-flash-native-audio,airline,matt_delaney,control,0.35714285714285715,0.47915742374995496,,,,,,,,,28,28,0.35714285714285715
gemini:gemini-live-2.5-flash-native-audio,airline,mildred_kaplan,regular,0.25,0.4330127018922193,,,,,,,,,12,12,0.25
gemini:gemini-live-2.5-flash-native-audio,airline,priya_patil,regular,0.6666666666666666,0.4714045207910317,,,,,,,,,6,6,0.6666666666666666
gemini:gemini-live-2.5-flash-native-audio,airline,wei_lin,regular,0.2222222222222222,0.41573970964154905,,,,,,,,,9,9,0.2222222222222222
gemini:gemini-live-2.5-flash-native-audio,retail,arjun_roy,control_accents,0.5185185185185185,0.4996569467863719,,,,,,,,,27,27,0.5185185185185185
gemini:gemini-live-2.5-flash-native-audio,retail,arjun_roy,regular,0.2,0.4,,,,,,,,,20,20,0.2
gemini:gemini-live-2.5-flash-native-audio,retail,lisa_brenner,control,0.375,0.4841229182759271,,,,,,,,,56,56,0.375
gemini:gemini-live-2.5-flash-native-audio,retail,lisa_brenner,control_audio,0.3709677419354839,0.48306384296361093,,,,,,,,,62,62,0.3709677419354839
gemini:gemini-live-2.5-flash-native-audio,retail,lisa_brenner,control_behavior,0.32727272727272727,0.46921774183868875,,,,,,,,,55,55,0.32727272727272727
gemini:gemini-live-2.5-flash-native-audio,retail,mamadou_diallo,control_accents,0.42857142857142855,0.49487165930539345,,,,,,,,,14,14,0.42857142857142855
gemini:gemini-live-2.5-flash-native-audio,retail,mamadou_diallo,regular,0.08695652173913043,0.2817713347133852,,,,,,,,,23,23,0.08695652173913043
gemini:gemini-live-2.5-flash-native-audio,retail,matt_delaney,control,0.39655172413793105,0.4891814123831416,,,,,,,,,58,58,0.39655172413793105
gemini:gemini-live-2.5-flash-native-audio,retail,matt_delaney,control_audio,0.3269230769230769,0.46908888144809496,,,,,,,,,52,52,0.3269230769230769
